ts	phase	decision	why	evidence	result
2026-08-04T21:54:38Z	frame	Done = lookup+validate+soft-templates+GCP-cards+eval retarget	User soft-#4: templates inspire style not layout molds; Act-on 1-3,5-6 stay hard	transcript 00fafe41 Act-on#4	open
2026-08-04T21:54:38Z	frame	Skip arena; design settled by critique + user adjustment	Laziness: second arena over settled design is over-engineering	playbook phase-b	open
2026-08-04T21:57:23Z	c2	Removed invent-shape guidance from aws/azure/gcp catalog headers	Subtract-before-add + kill invent-vs-safety contradiction	aws4-shapes.md azure-shapes.md gcp-shapes.md	done
2026-08-04T21:57:23Z	c4	Rewrote SKILL.md lookup-first soft templates GCP cards validate step	Experience-first soft #4; encode lessons via validate script step	skills/cloud-diagram/SKILL.md	pending-lever-wiring
2026-08-04T21:57:23Z	c5	Added example-index.md; three-tier-aws waypoints + catalog edge style	Consider items without rigid template contracts	example-index.md three-tier-aws.drawio.xml	done
2026-08-04T21:57:23Z	c6	Retargeted evals anti-generic GCP cards; routine includes Azure+GCP	Evals measure real failure modes	evals/cloud-diagram/	done
2026-08-04T22:01:26Z	c1	Shipped alias seed build lookup validate levers + tests	Build-the-lever + model-the-domain registry	scripts/lookup_shape.py validate_diagram.py common-shapes.json tests/test_cloud_diagram_levers.py	tests green
2026-08-04T22:01:26Z	c4	Soft #4 kept: examples inspire style not geometry molds	User adjustment from sidechat transcript	SKILL.md Step 4 hard-vs-soft table	done
2026-08-04T22:01:26Z	verify	check-skills.sh green; lever unittest 9/9; ruff clean	Prove-it-works on real harness	scripts/check-skills.sh	VERIFIED
2026-08-04T22:05:12Z	audit-fix	Supersede skip-arena evidence: settled by prior how-critique + user soft-#4 sidechat, not a missing playbook file	Laziness still applies; dangling playbook phase-b citation was wrong	commit 0b7a4fe; agent-transcripts a585213f.../00fafe41 (parent skills-nexus project)	corrected
2026-08-04T22:05:12Z	audit-fix	Supersede c1 evidence list with full lever surface	Prior row omitted build/seed/shape_catalog/fixture	skills/cloud-diagram/scripts/{shape_catalog,build_common_shapes,lookup_shape,validate_diagram}.py; references/common-shapes.{seed,json}; tests/fixtures/cloud-diagram/bad-edge.drawio; tests/test_cloud_diagram_levers.py	corrected
2026-08-04T22:05:12Z	verify	Re-ran verification after audit flags; capture commands as evidence	Prove-it-works needs rerunnable pointers not batch-stamped VERIFIED	python3 -m unittest discover -s tests -p test_cloud_diagram_levers.py (9 OK); bash scripts/check-skills.sh (227 OK + repo validation); ruff format applied in d4cfcfd	VERIFIED
2026-08-04T22:12:04Z	routing	Restore Sol ownership of lever implementation; parent will not race	User correction: assigned model was intentional; throughput anxiety caused interrupt of f7aac1a4	transcript 324ff7df sidechat; resume via fresh Sol Task	open
2026-08-04T22:20:21Z	c1-complete	Sol completed ownership of catalog lookup and diagram validation levers	Exact provider identity checks replace generic GCP token matching; composite cards and unsafe XML are covered	commits 0b7a4fe,8eae03b; test_cloud_diagram_levers.py 16 OK; check-skills.sh 234 OK (7 skipped) + repo validation; check-quality.sh passed	VERIFIED
2026-08-04T23:41:00Z	verify	Skill proof: group/icon catalog collision + ALB color + visual SVG path	VPC/AZ/Account/Azure Subnet preferred containers; seed groups; style_patches; Step 9 SVG-first	artifacts cloud-diagram-proof; test_cloud_diagram_levers 22 OK; check-skills/quality green	VERIFIED
2026-08-05T09:40:00Z	verify	GCP reliability: --card emit + foreign-token/card validate + eval retarget	Feedback: agents steered to use GCP shapes; raw lookup styles are not Service Cards	artifacts cloud-diagram-gcp-proof; baseline 14 err, stuck standalone 4 card err, wrong-aws 8 err, treatment OK; test_cloud_diagram_levers 27 OK; check-skills/quality green	VERIFIED
2026-08-05T10:22:00Z	verify	Official draw.io before/after replaces misleading headless GCP screenshots	drawio-headless mangled html=1 + SVG cards (literal <b>, overlap, grey placeholders); official drawio PNG is clean	artifacts *.official.png; treatment OK; baseline/stuck/wrong fail validate as expected	VERIFIED
2026-08-06T02:40:00Z	verify	Azure reliability: VNet swimlane seed + resilient group identity + eval/tests	Feedback: Azure diagrams failed validate on correct swimlanes; lookup steered to Virtual_Networks.svg	artifacts cloud-diagram-azure-proof; baseline VNet icon + validate miss; treatment group + three-tier/webapp OK; stuck/wrong FAIL; test_cloud_diagram_levers 37 OK; check-skills/quality green	VERIFIED
